,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1870_AndersenHC_LykkePeer.0,56.0,43.0,113,73,137.0,66.0,721,197,1618,2335,2458,1378,1187,1553,75,4271,104,166,2911,1087,284,1209,3494,624,843,1635,3969,721,520,211,127,11083,24754
1870_Anonym_KraemmersvendeOgSyjomfruerEllerPrincipalernesPengeskuffer.0,89.0,46.0,58,47,54.0,35.0,1427,193,3739,5794,8316,3885,2195,3841,485,8415,167,963,8401,1818,1332,3271,9239,1445,1680,3749,8930,1299,810,450,178,30054,63306
1870_Anonym_StokhusslavenSoerenVintyvEllerForbryderensFjolledeDatter.0,209.0,103.0,142,58,88.0,66.0,2416,325,6576,9938,10698,5546,3948,8382,475,15735,251,1375,13402,2967,2148,4124,14464,1845,3616,8058,19218,2227,1074,744,244,49158,101874
1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_1.0,147.0,93.0,59,45,117.0,49.0,2225,251,5464,8984,9643,5751,3349,7087,482,14183,173,1373,12938,2713,1939,5535,14075,1388,2851,6814,16215,2039,1070,599,225,45381,95077
1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_2.0,220.0,78.0,102,73,110.0,59.0,2420,362,5403,8640,10003,6342,3106,6982,351,13294,162,1459,13399,3077,2038,5597,14296,1897,2648,6601,15605,1863,964,576,195,45973,96046
1870_AT_DenVanvittigesBoernEllerSkurkenPaaNoerrebro.0,103.0,56.0,76,28,47.0,34.0,2230,205,4257,6376,8629,4243,2465,4676,1060,9792,166,937,11386,2712,1544,2637,12141,1356,2074,4599,11043,1411,750,534,170,35495,74377
1870_Brosboell_TranensVarsel.0,614.0,276.0,122,93,182.0,95.0,2758,518,6398,12271,12618,5614,4747,8318,351,18485,475,1681,17060,4421,2082,5913,19370,2053,3337,8407,19994,3171,1670,1029,385,57712,121857
1870_CS_PaaRov.0,156.0,81.0,78,54,31.0,24.0,1106,221,2936,5359,6627,4213,2134,3861,290,7222,166,774,9318,1488,1409,3110,8955,993,1318,3374,7963,1173,734,378,177,30063,58855
1870_Dodt_AegteOgUaegte.0,320.0,174.0,271,135,184.0,85.0,1698,326,7881,13687,15373,7012,5294,8418,605,17872,130,1535,17043,2479,3616,4662,17340,2784,3830,8060,19584,2824,1613,882,296,61904,125731
1870_Friis_MagnusHeinesen.0,194.0,88.0,114,68,77.0,44.0,1043,221,2328,4454,4676,2204,1629,2874,121,6265,113,348,5301,1597,1066,2044,5817,909,1292,2900,6920,1018,645,325,146,19472,41746
1870_Friis_MoedetPaaLaesoe.0,136.0,68.0,72,46,39.0,28.0,491,135,1849,3315,4101,1768,1400,2198,116,4866,112,426,4363,729,897,1486,4515,700,988,2120,5103,747,542,223,133,16053,32841
1870_GB_PolitispionenEllerHaelerhusetPaaKristianshavn.0,387.0,203.0,141,85,94.0,86.0,2073,447,6288,9878,10742,5054,3673,7441,503,16499,401,1472,11482,2903,1749,2305,15249,2127,3586,7383,18020,2517,1417,859,314,44914,97766
1870_Gerson_AfDetDagligeLiv.0,144.0,81.0,82,65,53.0,40.0,542,192,2672,4462,5580,2367,1934,3282,83,6332,101,577,5316,867,1019,733,5518,792,1366,2982,7173,923,627,317,164,21414,41635
1870_Gundersen_EnPolitimandsErindringer.0,749.0,316.0,227,122,166.0,94.0,1734,441,5778,10948,11031,6180,3861,7388,407,16610,508,1745,11960,3083,2795,3549,14325,1428,3101,7594,18017,2350,1347,722,266,49043,101596
1870_Juel_Hittebarnet.0,123.0,36.0,41,27,35.0,23.0,2466,254,5671,6925,8629,5203,3193,5100,467,10399,104,1311,12276,2841,1622,3699,12480,1325,2752,5415,13117,1505,644,720,178,40287,81245
1870_Korfitsen_EnSkibbruden.0,91.0,60.0,82,69,48.0,33.0,561,158,1503,2308,2932,1428,955,1669,218,3590,97,311,3186,977,528,2004,3362,545,873,1864,4600,528,425,191,117,11675,25613
1870_Laessoee_TilMaalet.0,281.0,135.0,96,80,71.0,31.0,1776,216,3945,6957,7312,2879,2495,4106,307,9209,107,662,7773,2258,1464,1692,8733,748,2074,4092,10036,1329,755,407,163,29603,60647
1870_Lange_AaenOgHavet.0,226.0,107.0,80,57,62.0,36.0,580,127,6162,9717,10210,3726,4435,7317,313,13289,121,1077,9902,988,1915,2096,10529,1103,3486,6767,16832,1589,868,623,192,41322,82900
